hhid,caso,p10d01,p10d03,p10d04,p10d06,p10e05a
27.0,1.0,,,,,
27.0,2.0,no,,,,
27.0,3.0,si," profesionales, cientificos  e  intelectuales", servicios financieros,como dueÑo o patron de empresa o finca o como socio activo,
28.0,1.0,no,,,,
28.0,2.0,no,,,,
29.0,1.0,si," profesionales, cientificos  e  intelectuales", enseÑanza,como empleado u obrero de una empresa privada,
29.0,2.0,no,,,,
29.0,3.0,,,,,
29.0,4.0,no,,,,
29.0,5.0,si, trabajadores no calificados, comercio,como empleado u obrero de una empresa privada,
30.0,1.0,no,,,,
30.0,2.0,no,,,,
30.0,3.0,,,,,
31.0,1.0,si, trab. de los servicios y vend. de comercios y mercados, comercio,como empleado u obrero de una empresa privada,
31.0,3.0,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,
32.0,1.0,no,,,,
32.0,2.0,,,,,
32.0,3.0,,,,,
32.0,4.0,,,,,
32.0,5.0,,,,,
33.0,1.0,si, trabajadores no calificados, industria manufacturera,como empleado u obrero de una empresa privada,
33.0,2.0,si, trabajadores no calificados, industria manufacturera,como empleado u obrero de una empresa privada,
34.0,1.0,si, personal directivo de la admon publica y de las empresas, industria manufacturera,trabajador por su cuenta o en su finca,
34.0,2.0,no,,,,
35.0,1.0,,,,,
36.0,1.0,no,,,,
36.0,2.0,no,,,,
37.0,1.0,si, empleados de oficina," servicios de salud, sociales y personales",como empleado de gobierno,
37.0,2.0,,,,,
37.0,3.0,,,,,
38.0,1.0,no,,,,
38.0,2.0,,,,,
38.0,3.0,,,,,
38.0,4.0,,,,,
39.0,1.0,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como empleado u obrero de una empresa privada,
39.0,2.0,,,,,
40.0,1.0,no,,,,
40.0,2.0,no,,,,
40.0,3.0,,,,,
41.0,1.0,no,,,,
41.0,2.0,si, trabajadores no calificados," servicios de salud, sociales y personales",como empleado (a) domestico (a),
41.0,3.0,,,,,
42.0,1.0,no,,,,
42.0,2.0,no,,,,
42.0,3.0,no,,,,
42.0,4.0,no,,,,
43.0,1.0,no,,,,
43.0,2.0,,,,,
43.0,3.0,,,,,
43.0,4.0,,,,,
44.0,1.0,si, trab. de los servicios y vend. de comercios y mercados," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,
44.0,2.0,,,,,
45.0,1.0,no,,,,
45.0,2.0,,,,,
45.0,3.0,,,,,
45.0,4.0,,,,,
46.0,1.0,no,,,,
46.0,2.0,,,,,
47.0,1.0,,,,,
47.0,2.0,,,,,
47.0,3.0,no,,,,
47.0,4.0,,,,,
48.0,1.0,si," profesionales, cientificos  e  intelectuales", construccion,como empleado u obrero de una empresa privada,
48.0,2.0,no,,,,
48.0,3.0,,,,,
49.0,1.0,si," profesionales, cientificos  e  intelectuales"," servicios de salud, sociales y personales",como empleado de gobierno,
50.0,1.0,si, trab. de los servicios y vend. de comercios y mercados, comercio,trabajador por su cuenta o en su finca,
50.0,2.0,,,,,
50.0,3.0,,,,,
50.0,6.0,no,,,,
51.0,1.0,,,,,
51.0,2.0,no,,,,
51.0,3.0,si, empleados de oficina," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,
51.0,4.0,,,,,
51.0,5.0,,,,,
51.0,6.0,,,,,
52.0,1.0,no,,,,
52.0,2.0,,,,,
52.0,3.0,no,,,,
52.0,4.0,,,,,
52.0,5.0,,,,,
52.0,6.0,,,,,
52.0,7.0,,,,,
52.0,8.0,si, trabajadores no calificados," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,
53.0,1.0,no,,,,
53.0,2.0,no,,,,
54.0,1.0,no,,,,
54.0,2.0,no,,,,no
54.0,3.0,no,,,,
54.0,4.0,,,,,
54.0,5.0,,,,,
55.0,1.0,si, trabajadores no calificados, comercio,trabajador por su cuenta o en su finca,
55.0,2.0,no,,,,
55.0,3.0,,,,,
55.0,4.0,,,,,
56.0,1.0,no,,,,
56.0,2.0,no,,,,
56.0,3.0,,,,,
57.0,1.0,si, trabajadores no calificados," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,
57.0,2.0,no,,,,
57.0,3.0,,,,,
58.0,1.0,,,,,
58.0,2.0,,,,,
58.0,3.0,no,,,,
59.0,1.0,no,,,,
59.0,2.0,no,,,,
59.0,3.0,,,,,
60.0,1.0,si, trab. de los servicios y vend. de comercios y mercados, industria manufacturera,como empleado u obrero de una empresa privada,
60.0,2.0,,,,,
61.0,1.0,si," profesionales, cientificos  e  intelectuales"," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,
61.0,2.0,no,,,,
62.0,1.0,no,,,,
62.0,2.0,no,,,,
62.0,3.0,,,,,
62.0,4.0,,,,,
63.0,1.0,no,,,,
63.0,2.0,si, operarios y artesanos de artes mecanicas y otros oficios, industria manufacturera,como empleado u obrero de una empresa privada,
64.0,2.0,,,,,
65.0,1.0,no,,,,
65.0,2.0,no,,,,
65.0,3.0,,,,,
65.0,4.0,no,,,,
65.0,5.0,,,,,
66.0,1.0,no,,,,
66.0,2.0,si, trab. de los servicios y vend. de comercios y mercados, comercio,como empleado u obrero de una empresa privada,
66.0,3.0,si, trabajadores no calificados," transporte, almacenamiento y comunicaciones",como empleado u obrero de una empresa privada,
67.0,2.0,no,,,,
67.0,3.0,,,,,
67.0,4.0,,,,,
68.0,1.0,no,,,,
68.0,2.0,si, empleados de oficina," agricultura, ganaderia, caza y pesca",como empleado de gobierno,
69.0,1.0,no,,,,
69.0,2.0,no,,,,
69.0,3.0,,,,,
69.0,4.0,,,,,
70.0,1.0,no,,,,
70.0,2.0,no,,,,
70.0,3.0,si," profesionales, cientificos  e  intelectuales", servicios financieros,como empleado u obrero de una empresa privada,
70.0,4.0,si," profesionales, cientificos  e  intelectuales"," servicios de salud, sociales y personales",como empleado de gobierno,
71.0,1.0,,,,,
71.0,2.0,no,,,,
71.0,3.0,no,,,,
72.0,1.0,no,,,,
72.0,2.0,no,,,,
73.0,1.0,,,,,
73.0,2.0,,,,,
74.0,1.0,no,,,,
74.0,2.0,si, tecnicos y profesionales de nivel medio, comercio,como empleado u obrero de una empresa privada,
74.0,3.0,no,,,,
75.0,1.0,no,,,,
75.0,2.0,no,,,,
75.0,3.0,,,,,
76.0,1.0,si, tecnicos y profesionales de nivel medio, servicios financieros,como empleado de gobierno,
76.0,2.0,no,,,,
76.0,3.0,,,,,
76.0,4.0,,,,,
76.0,5.0,,,,,
77.0,1.0,si," profesionales, cientificos  e  intelectuales", servicios financieros,trabajador por su cuenta o en su finca,
77.0,2.0,no,,,,
77.0,3.0,,,,,
77.0,5.0,,,,,
77.0,6.0,,,,,
78.0,1.0,no,,,,
78.0,2.0,,,,,
79.0,1.0,,,,,
79.0,2.0,no,,,,
79.0,3.0,,,,,
79.0,4.0,,,,,
79.0,5.0,,,,,
79.0,6.0,,,,,
80.0,1.0,no,,,,
80.0,2.0,no,,,,
81.0,1.0,no,,,,
81.0,2.0,no,,,,
81.0,3.0,,,,,
81.0,4.0,,,,,
81.0,5.0,,,,,
82.0,1.0,no,,,,
82.0,2.0,no,,,,
82.0,3.0,,,,,
82.0,4.0,,,,,
83.0,1.0,,,,,
83.0,2.0,,,,,
84.0,1.0,si, operadores de instalaciones y maquinas y montadores," servicios de salud, sociales y personales",trabajador por su cuenta o en su finca,
84.0,2.0,,,,,
84.0,3.0,,,,,
84.0,4.0,si, trabajadores no calificados," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,
85.0,1.0,si," profesionales, cientificos  e  intelectuales", enseÑanza,como empleado u obrero de una empresa privada,
85.0,2.0,no,,,,
85.0,3.0,no,,,,
86.0,1.0,no,,,,
86.0,2.0,,,,,
87.0,1.0,no,,,,
88.0,1.0,,,,,
89.0,1.0,no,,,,
89.0,2.0,,,,,
89.0,3.0,,,,,
90.0,1.0,no,,,,
90.0,2.0,no,,,,
91.0,1.0,no,,,,
91.0,2.0,no,,,,
91.0,3.0,no,,,,
92.0,1.0,,,,,
93.0,1.0,no,,,,
93.0,2.0,si," profesionales, cientificos  e  intelectuales", servicios financieros,como empleado u obrero de una empresa privada,
93.0,3.0,si," profesionales, cientificos  e  intelectuales", servicios financieros,como empleado u obrero de una empresa privada,
94.0,1.0,no,,,,
94.0,2.0,no,,,,
94.0,3.0,no,,,,
95.0,1.0,,,,,
95.0,2.0,,,,,
95.0,3.0,no,,,,
95.0,4.0,no,,,,
96.0,1.0,no,,,,
96.0,2.0,no,,,,
96.0,3.0,,,,,
96.0,5.0,si, trabajadores no calificados," electricidad, gas y agua",trabajador por su cuenta o en su finca,
96.0,6.0,si, trabajadores no calificados," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,
96.0,7.0,si, operarios y artesanos de artes mecanicas y otros oficios," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,
96.0,8.0,no,,,,
97.0,1.0,,,,,
97.0,2.0,,,,,
97.0,3.0,si," profesionales, cientificos  e  intelectuales", enseÑanza,como empleado u obrero de una empresa privada,
97.0,4.0,no,,,,
97.0,5.0,no,,,,
97.0,6.0,no,,,,
98.0,1.0,no,,,,
98.0,2.0,no,,,,
99.0,1.0,si," profesionales, cientificos  e  intelectuales", servicios financieros,como empleado u obrero de una empresa privada,
99.0,2.0,,,,,
100.0,1.0,no,,,,
100.0,2.0,no,,,,
101.0,1.0,no,,,,
101.0,2.0,,,,,
101.0,3.0,,,,,
101.0,4.0,,,,,
102.0,1.0,no,,,,
102.0,2.0,,,,,
102.0,3.0,,,,,
103.0,1.0,si," profesionales, cientificos  e  intelectuales"," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,
103.0,2.0,si, trab. de los servicios y vend. de comercios y mercados," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,
104.0,1.0,no,,,,
104.0,2.0,no,,,,
105.0,1.0,no,,,,
105.0,2.0,si, operadores de instalaciones y maquinas y montadores, industria manufacturera,como empleado de gobierno,
106.0,1.0,no,,,,
106.0,2.0,,,,,
107.0,1.0,si, trab. de los servicios y vend. de comercios y mercados," transporte, almacenamiento y comunicaciones",como empleado u obrero de una empresa privada,
107.0,2.0,no,,,,
107.0,3.0,no,,,,
107.0,4.0,no,,,,
107.0,5.0,,,,,
107.0,6.0,,,,,
108.0,1.0,no,,,,
108.0,2.0,,,,,
109.0,1.0,si," profesionales, cientificos  e  intelectuales", servicios financieros,como empleado u obrero de una empresa privada,
110.0,1.0,no,,,,
110.0,2.0,si, trab. de los servicios y vend. de comercios y mercados, comercio,como empleado u obrero de una empresa privada,
110.0,3.0,,,,,
111.0,1.0,,,,,
111.0,2.0,,,,,
111.0,3.0,si, empleados de oficina, comercio,como empleado u obrero de una empresa privada,
112.0,1.0,no,,,,
113.0,1.0,no,,,,
113.0,2.0,no,,,,
113.0,3.0,,,,,
114.0,1.0,no,,,,
114.0,2.0,,,,,
114.0,3.0,no,,,,
114.0,4.0,si, operarios y artesanos de artes mecanicas y otros oficios," transporte, almacenamiento y comunicaciones",como empleado u obrero de una empresa privada,
114.0,5.0,no,,,,
114.0,6.0,,,,,
114.0,7.0,si, empleados de oficina, servicios financieros,como empleado u obrero de una empresa privada,
114.0,9.0,,,,,
115.0,1.0,no,,,,
115.0,2.0,,,,,
115.0,3.0,no,,,,
115.0,4.0,si, empleados de oficina, industria manufacturera,como empleado u obrero de una empresa privada,
115.0,5.0,si, operarios y artesanos de artes mecanicas y otros oficios," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,
115.0,6.0,,,,,
115.0,7.0,si, operadores de instalaciones y maquinas y montadores, organizaciones extraterritoriales,como empleado u obrero de una empresa privada,
115.0,8.0,,,,,
115.0,9.0,,,,,
116.0,1.0,no,,,,
116.0,2.0,,,,,
117.0,2.0,,,,,
117.0,3.0,,,,,
117.0,6.0,no,,,,
118.0,1.0,no,,,,
118.0,2.0,no,,,,
118.0,3.0,,,,,
118.0,5.0,,,,,
119.0,1.0,,,,,
119.0,2.0,,,,,
119.0,3.0,,,,,
119.0,4.0,,,,,
119.0,5.0,,,,,
120.0,1.0,no,,,,
120.0,2.0,,,,,
120.0,4.0,,,,,
120.0,5.0,,,,,
120.0,6.0,,,,,
120.0,7.0,,,,,
120.0,8.0,,,,,
121.0,1.0,,,,,
121.0,2.0,no,,,,
121.0,3.0,,,,,
122.0,1.0,,,,,
122.0,2.0,,,,,
122.0,3.0,,,,,
122.0,4.0,no,,,,
123.0,1.0,no,,,,
123.0,2.0,no,,,,
123.0,3.0,,,,,
123.0,4.0,,,,,
124.0,1.0,no,,,,
124.0,2.0,,,,,
124.0,3.0,,,,,
125.0,1.0,,,,,
125.0,2.0,,,,,
126.0,1.0,no,,,,
126.0,2.0,no,,,,
126.0,3.0,,,,,
126.0,4.0,no,,,,
126.0,5.0,,,,,
126.0,6.0,,,,,
127.0,1.0,no,,,,
127.0,2.0,,,,,
127.0,3.0,no,,,,
128.0,1.0,no,,,,
128.0,2.0,,,,,
128.0,3.0,,,,,
128.0,4.0,,,,,
128.0,5.0,,,,,
129.0,1.0,no,,,,
129.0,2.0,,,,,
129.0,3.0,,,,,
129.0,4.0,,,,,
129.0,5.0,,,,,
129.0,6.0,,,,,
130.0,2.0,no,,,,
130.0,3.0,,,,,
130.0,4.0,,,,,
130.0,5.0,,,,,
131.0,1.0,,,,,
132.0,1.0,no,,,,
132.0,2.0,,,,,
132.0,3.0,si, trabajadores no calificados," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,
132.0,4.0,si, trabajadores no calificados, comercio,como empleado u obrero de una empresa privada,
132.0,5.0,no,,,,
133.0,1.0,no,,,,
133.0,2.0,no,,,,
133.0,3.0,no,,,,
133.0,4.0,,,,,
134.0,1.0,no,,,,
134.0,2.0,no,,,,
134.0,3.0,no,,,,
135.0,1.0,,,,,
135.0,2.0,no,,,,
135.0,3.0,si, operarios y artesanos de artes mecanicas y otros oficios, industria manufacturera,como empleado u obrero de una empresa privada,
135.0,4.0,no,,,,
135.0,5.0,no,,,,
135.0,6.0,,,,,
136.0,1.0,no,,,,
136.0,2.0,no,,,,
136.0,3.0,,,,,
136.0,4.0,no,,,,
136.0,5.0,,,,,
136.0,6.0,,,,,
137.0,1.0,no,,,,
138.0,1.0,no,,,,
138.0,2.0,no,,,,
138.0,3.0,,,,,
139.0,1.0,no,,,,
139.0,2.0,no,,,,
139.0,3.0,no,,,,
139.0,4.0,no,,,,
139.0,5.0,no,,,,
139.0,6.0,no,,,,
139.0,8.0,si, trab. de los servicios y vend. de comercios y mercados," servicios de salud, sociales y personales",trabajador por su cuenta o en su finca,
140.0,1.0,no,,,,
140.0,2.0,si, trab. de los servicios y vend. de comercios y mercados, comercio,trabajador por su cuenta o en su finca,
140.0,3.0,si, trab. de los servicios y vend. de comercios y mercados, comercio,como empleado u obrero de una empresa privada,
140.0,4.0,,,,,
141.0,1.0,no,,,,
142.0,1.0,si, trabajadores no calificados, industria manufacturera,como empleado u obrero de una empresa privada,
142.0,2.0,no,,,,
143.0,1.0,no,,,,
143.0,2.0,,,,,
143.0,3.0,no,,,,
143.0,4.0,no,,,,
143.0,5.0,,,,,
143.0,6.0,,,,,
144.0,1.0,si, tecnicos y profesionales de nivel medio," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,
144.0,2.0,,,,,
145.0,1.0,no,,,,
146.0,1.0,no,,,,
146.0,2.0,,,,,
146.0,3.0,,,,,
146.0,4.0,,,,,
146.0,5.0,,,,,
146.0,6.0,,,,,
147.0,2.0,,,,,
148.0,2.0,no,,,,
148.0,3.0,,,,,
148.0,4.0,,,,,
148.0,5.0,,,,,
149.0,2.0,no,,,,
149.0,3.0,,,,,
150.0,1.0,no,,,,
151.0,1.0,no,,,,
152.0,1.0,no,,,,
152.0,2.0,no,,,,
153.0,1.0,,,,,
154.0,1.0,,,,,
154.0,2.0,no,,,,
154.0,3.0,no,,,,
154.0,4.0,,,,,
154.0,5.0,,,,,
154.0,6.0,,,,,
154.0,7.0,si, empleados de oficina, industria manufacturera,como empleado u obrero de una empresa privada,
154.0,8.0,no,,,,
154.0,9.0,,,,,
155.0,1.0,no,,,,
155.0,2.0,,,,,
155.0,3.0,no,,,,
155.0,4.0,no,,,,
156.0,1.0,,,,,
156.0,2.0,,,,,
157.0,1.0,si," profesionales, cientificos  e  intelectuales", industria manufacturera,como empleado u obrero de una empresa privada,
157.0,2.0,no,,,,
157.0,3.0,,,,,
157.0,4.0,,,,,
158.0,1.0,no,,,,
158.0,2.0,no,,,,
158.0,3.0,no,,,,
158.0,4.0,no,,,,
158.0,5.0,no,,,,
159.0,1.0,,,,,
160.0,1.0,,,,,
161.0,1.0,,,,,
161.0,2.0,no,,,,
161.0,3.0,no,,,,
161.0,4.0,no,,,,
161.0,5.0,no,,,,
161.0,6.0,no,,,,
162.0,1.0,no,,,,
162.0,2.0,no,,,,
162.0,3.0,no,,,,
162.0,4.0,no,,,,
163.0,1.0,,,,,
163.0,2.0,no,,,,
163.0,3.0,,,,,
164.0,1.0,si, tecnicos y profesionales de nivel medio," servicios de salud, sociales y personales",trabajador por su cuenta o en su finca,
164.0,2.0,si," profesionales, cientificos  e  intelectuales", servicios financieros,trabajador por su cuenta o en su finca,
164.0,3.0,,,,,
164.0,4.0,,,,,
164.0,5.0,no,,,,
165.0,1.0,no,,,,
165.0,2.0,no,,,,
165.0,3.0,,,,,
166.0,1.0,,,,,
166.0,2.0,no,,,,
166.0,3.0,si," profesionales, cientificos  e  intelectuales", enseÑanza,como empleado u obrero de una empresa privada,
167.0,1.0,no,,,,
167.0,2.0,,,,,
167.0,3.0,no,,,,
167.0,4.0,si, trab. de los servicios y vend. de comercios y mercados, comercio,como empleado u obrero de una empresa privada,
167.0,5.0,no,,,,
168.0,1.0,,,,,
168.0,2.0,no,,,,
169.0,1.0,no,,,,
169.0,2.0,no,,,,
169.0,3.0,,,,,
169.0,6.0,no,,,,
169.0,7.0,9.0, ocupacion no especificada, organizaciones extraterritoriales,9.0,
170.0,1.0,,,,,
171.0,1.0,no,,,,
171.0,2.0,no,,,,
171.0,3.0,,,,,
172.0,1.0,,,,,
172.0,2.0,,,,,
172.0,3.0,,,,,
172.0,4.0,,,,,
172.0,5.0,,,,,
172.0,6.0,,,,,
173.0,1.0,no,,,,
173.0,2.0,no,,,,
174.0,1.0,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como empleado u obrero de una empresa privada,
174.0,2.0,,,,,
174.0,3.0,,,,,
174.0,4.0,,,,,
174.0,5.0,,,,,
175.0,1.0,no,,,,
176.0,1.0,,,,,
176.0,2.0,no,,,,
176.0,3.0,,,,,
177.0,1.0,no,,,,
177.0,2.0,no,,,,
177.0,3.0,no,,,,
177.0,4.0,no,,,,
177.0,5.0,no,,,,
178.0,1.0,no,,,,
179.0,1.0,no,,,,no
179.0,2.0,,,,,
180.0,1.0,no,,,,
180.0,2.0,no,,,,
180.0,3.0,no,,,,
180.0,4.0,,,,,
180.0,5.0,,,,,
181.0,1.0,no,,,,
181.0,2.0,no,,,,
181.0,3.0,,,,,
181.0,4.0,no,,,,
181.0,5.0,no,,,,
182.0,1.0,no,,,,no
182.0,2.0,,,,,
182.0,3.0,,,,,
182.0,4.0,,,,,
183.0,2.0,,,,,
184.0,1.0,no,,,,
184.0,2.0,no,,,,
185.0,1.0,si, trabajadores no calificados," servicios de salud, sociales y personales",como dueÑo o patron de empresa o finca o como socio activo,
185.0,2.0,no,,,,
186.0,1.0,no,,,,
186.0,2.0,no,,,,
186.0,3.0,,,,,
186.0,4.0,,,,,
186.0,5.0,,,,,
186.0,6.0,no,,,,
187.0,1.0,no,,,,
187.0,2.0,no,,,,
188.0,1.0,no,,,,
188.0,2.0,,,,,
188.0,3.0,si, trab. de los servicios y vend. de comercios y mercados, comercio,como dueÑo o patron de empresa o finca o como socio activo,
188.0,4.0,no,,,,
189.0,1.0,si, personal directivo de la admon publica y de las empresas," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,
189.0,2.0,no,,,,
189.0,3.0,no,,,,
189.0,4.0,no,,,,
189.0,5.0,no,,,,
190.0,1.0,no,,,,
190.0,2.0,,,,,
190.0,3.0,no,,,,
191.0,1.0,no,,,,
191.0,2.0,no,,,,
191.0,3.0,,,,,
191.0,4.0,,,,,
191.0,5.0,,,,,
192.0,1.0,no,,,,
192.0,2.0,no,,,,
192.0,3.0,,,,,
192.0,5.0,no,,,,
193.0,1.0,no,,,,
193.0,2.0,,,,,
193.0,3.0,,,,,
193.0,4.0,,,,,
193.0,5.0,,,,,
194.0,1.0,no,,,,
194.0,2.0,,,,,si
194.0,3.0,,,,,
194.0,4.0,,,,,
195.0,1.0,no,,,,
195.0,2.0,no,,,,
195.0,3.0,,,,,
195.0,4.0,,,,,
195.0,5.0,,,,,
196.0,1.0,,,,,
196.0,2.0,no,,,,
197.0,1.0,,,,,
197.0,2.0,no,,,,
198.0,1.0,no,,,,
198.0,2.0,no,,,,si
198.0,3.0,si, trab. de los servicios y vend. de comercios y mercados, industria manufacturera,como empleado u obrero de una empresa privada,si
198.0,4.0,si, trab. de los servicios y vend. de comercios y mercados, comercio,como empleado u obrero de una empresa privada,si
198.0,5.0,no,,,,si
199.0,1.0,no,,,,
200.0,1.0,,,,,
200.0,2.0,si," profesionales, cientificos  e  intelectuales", enseÑanza,como empleado u obrero de una empresa privada,
200.0,3.0,no,,,,
201.0,1.0,no,,,,
201.0,2.0,no,,,,
201.0,3.0,,,,,
201.0,4.0,,,,,
201.0,5.0,,,,,
202.0,1.0,si, operarios y artesanos de artes mecanicas y otros oficios, industria manufacturera,como empleado u obrero de una empresa privada,
202.0,2.0,,,,,
202.0,3.0,,,,,si
203.0,1.0,no,,,,
203.0,2.0,si, operarios y artesanos de artes mecanicas y otros oficios," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,
204.0,1.0,no,,,,
205.0,1.0,no,,,,
205.0,2.0,,,,,
206.0,1.0,no,,,,
206.0,2.0,,,,,
206.0,5.0,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como empleado u obrero de una empresa privada,
207.0,1.0,,,,,
207.0,2.0,no,,,,
207.0,3.0,no,,,,
207.0,4.0,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como empleado u obrero de una empresa privada,
207.0,5.0,si, trab. de los servicios y vend. de comercios y mercados, comercio,como empleado u obrero de una empresa privada,
207.0,6.0,si, operarios y artesanos de artes mecanicas y otros oficios," servicios de salud, sociales y personales",trabajador por su cuenta o en su finca,
207.0,7.0,no,,,,
207.0,8.0,,,,,
207.0,9.0,,,,,
207.0,11.0,no,,,,
208.0,1.0,no,,,,
208.0,2.0,no,,,,
208.0,3.0,no,,,,
208.0,4.0,si, trab. de los servicios y vend. de comercios y mercados, comercio,como empleado u obrero de una empresa privada,
208.0,5.0,,,,,
208.0,6.0,,,,,
209.0,1.0,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como empleado u obrero de una empresa privada,
209.0,2.0,no,,,,
209.0,3.0,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como empleado u obrero de una empresa privada,
209.0,4.0,si, trabajadores no calificados," servicios de salud, sociales y personales",como empleado (a) domestico (a),
209.0,5.0,,,,,
209.0,6.0,,,,,
210.0,1.0,no,,,,
210.0,2.0,si, trabajadores no calificados," servicios de salud, sociales y personales",como empleado (a) domestico (a),
210.0,3.0,,,,,
211.0,1.0,,,,,
211.0,2.0,no,,,,
212.0,1.0,,,,,
212.0,2.0,no,,,,
212.0,3.0,no,,,,
213.0,1.0,si," profesionales, cientificos  e  intelectuales"," transporte, almacenamiento y comunicaciones",como empleado u obrero de una empresa privada,
214.0,1.0,no,,,,
214.0,2.0,no,,,,
214.0,3.0,,,,,
214.0,4.0,no,,,,
214.0,5.0,si, trab. de los servicios y vend. de comercios y mercados, enseÑanza,como empleado u obrero de una empresa privada,
214.0,6.0,no,,,,
215.0,1.0,no,,,,
215.0,2.0,si, empleados de oficina, comercio,como empleado u obrero de una empresa privada,
216.0,1.0,no,,,,
216.0,2.0,,,,,
216.0,3.0,si, trabajadores no calificados," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,
216.0,4.0,,,,,
216.0,5.0,,,,,
217.0,1.0,no,,,,
217.0,2.0,no,,,,
218.0,1.0,no,,,,
218.0,2.0,si, operadores de instalaciones y maquinas y montadores, industria manufacturera,como empleado u obrero de una empresa privada,
219.0,1.0,no,,,,
219.0,2.0,si, trab. de los servicios y vend. de comercios y mercados," servicios de salud, sociales y personales",como empleado de gobierno,
219.0,3.0,,,,,
219.0,4.0,si, trab. de los servicios y vend. de comercios y mercados," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,
219.0,5.0,si, tecnicos y profesionales de nivel medio," servicios de salud, sociales y personales",como dueÑo o patron de empresa o finca o como socio activo,
219.0,6.0,,,,,
219.0,7.0,,,,,
219.0,8.0,,,,,
219.0,9.0,,,,,
220.0,1.0,no,,,,
220.0,2.0,no,,,,
220.0,3.0,,,,,
220.0,5.0,no,,,,
221.0,2.0,,,,,
222.0,1.0,no,,,,
222.0,2.0,no,,,,
222.0,3.0,no,,,,
222.0,5.0,,,,,
223.0,1.0,no,,,,
224.0,1.0,no,,,,
224.0,2.0,no,,,,
224.0,3.0,,,,,
