module,module description,variable_name,variable_description,variable_description_en,included,comments,leo comments,updated_v2,updated_v3
CONSUMO5.DTA,Total consumption per household,estrato,estrato socio economico del sector censal,socioeconomic stratum of the census sector,no,"socio-economic stratification indicator at the regional level, usually derived from census (censo) data","Let‚Äôs drop this, but I see why you considered keeping it.",excluded,
CONSUMO5.DTA,Total consumption per household,boleta,numero de boleta,ticket number,no,,,,
CONSUMO5.DTA,Total consumption per household,hogar,numero de hogar,household number,yes,,,,
CONSUMO5.DTA,Total consumption per household,upm,,Primary Sampling Unit (PSU) without segment Scientific counting method,no,,"If these are survey enumeration units, we want to keep them. Can you investigate the difference between upm and upm2 and keep whichever makes more sense as a ‚Äúunit of surveying‚Äù? If you‚Äôre stuck, check with me.","I checked the variables upm and upm2. Both appear to refer to the same PSU, with upm2 being the clearer integer form. These are indeed survey enumeration units. I suggest keeping only upm2 for clarity and dropping upm.",
CONSUMO5.DTA,Total consumption per household,upm2,upm sin segmento,Primary Sampling Unit (PSU) without segment,yes,,, remained,
CONSUMO5.DTA,Total consumption per household,only1,,this is a placeholder - all rows are one,no,,This made me laugh,,
CONSUMO5.DTA,Total consumption per household,fact_geo,factor geográfico (divisor),geographic factor (divisor),no,,,,
CONSUMO5.DTA,Total consumption per household,comen3,alimentos tot/año/p. c./prorrateado geogra,Total food expenditure per capita per year (geo-adjusted),no,It belongs to the category of consumption expenditure variables and cannot be verified by observation.,,,
CONSUMO5.DTA,Total consumption per household,casas3,valor uso de casa tot/año/p. c./prorrateado geogra,use value of house tot/year/p. c./prorated geography,no,,,,
CONSUMO5.DTA,Total consumption per household,aguas3,servicios de la casa tot/año/p. c./prorrateado geogra,house services tot/year/p. c./prorated geography,no,,,,
CONSUMO5.DTA,Total consumption per household,educa3,educación tot/año/p. c./prorrateado geogra,education tot/year/p. c./prorated geography,no,,,,
CONSUMO5.DTA,Total consumption per household,salud3,salud tot/año/p. c./prorrateado geogra,total health/year/p. c./prorated geography,no,,,,
CONSUMO5.DTA,Total consumption per household,equip3,equipamiento tot/año/p. c./prorrateado geogra,total equipment/year/p. c./prorated geography,no,,,,
CONSUMO5.DTA,Total consumption per household,buses3,transporte y comunic. tot/año/p. c./prorrateado geogra,transportation and communication tot/year/p. c./prorated geography,no,,,,
CONSUMO5.DTA,Total consumption per household,gasto3,gastos del hogar tot/año/p. c./prorrateado geogra,household expenses tot/year/p. c./prorated geography,no,,,,
CONSUMO5.DTA,Total consumption per household,ayuda3,servicios legales y personales tot/año/p. c./prorrateado geogra,legal and personal services tot/year/p. c./prorated geography,no,,,,
CONSUMO5.DTA,Total consumption per household,agreg3,agregado de consumo tot/año/p. c./prorrateado geogra,total consumption aggregate/year/p. c./prorated geography,yes, I think this is the outcome of PMT not input,This is consumption aggregate. We do want it.,remained,
CONSUMO5.DTA,Total consumption per household,li_extre,línea de pobreza extrema,extreme poverty line,no,,,,
CONSUMO5.DTA,Total consumption per household,li_gener,línea de pobreza general,general poverty line,no,,,,
CONSUMO5.DTA,Total consumption per household,pobreza,clasificacion de pobreza,poverty classification,no,,,,
CONSUMO5.DTA,Total consumption per household,pob_ext,pobre extremo,Extreme poor,no,,,,
CONSUMO5.DTA,Total consumption per household,pob_gen,todos los pobres,all poor,no,,,,
CONSUMO5.DTA,Total consumption per household,thogar,# de personas en el hogar (# real),# of people in the household (actual #),no,,,,
CONSUMO5.DTA,Total consumption per household,factor,factor de expansión relacionado a lista.p,expansion factor related to list.p,no,,,,
CONSUMO5.DTA,Total consumption per household,factor2,factor de expansión relacionado a thogar,expansion factor related to thogar,no,,,,
CONSUMO5.DTA,Total consumption per household,lista_p,# de personas con información,# of people with information,no,,,,
CONSUMO5.DTA,Total consumption per household,factor3,factor2 * thogar,factor2*thogar,no,,,,
CONSUMO5.DTA,Total consumption per household,ragreg3,rank of agreg3,Rank of consumption aggregate,no,,,,
CONSUMO5.DTA,Total consumption per household,quintil,quintil de consumo de persoans,quintile of consumption of people,no,,,,
CONSUMO5.DTA,Total consumption per household,decil,decil de consumo de persoans,Consumption decile,no,,,,
CONSUMO5.DTA,Total consumption per household,fact3sum,número total de guatemaltecos = su (factor3),Total Guatemalans = sum of weights (factor3),no,,,,
ECV18N15.DTA,Enterprise Control,region,region politico administrativa,administrative political region,no,duplicated,,,
ECV18N15.DTA,Enterprise Control,area,area  urbana/rural,urban/rural area,no,,,,
ECV18N15.DTA,Enterprise Control,factor,factor de expansion,expansion factor,no,,,,
ECV18N15.DTA,Enterprise Control,hogar,numero de hogar,household number,yes,,,,
ECV18N15.DTA,Enterprise Control,thogar,no. de personas en el hogar,No. of people in the home,no,,,,
ECV18N15.DTA,Enterprise Control,pobreza,clasificacion de pobreza,poverty classification,no,,,,
ECV18N15.DTA,Enterprise Control,p15a01,cerro/vendio negocio,closed/sold business,no,,,,
ECV18N15.DTA,Enterprise Control,p15a02,razon de cierrre,closure reason,no,,,,
ECV18N15.DTA,Enterprise Control,p15a03,razon inicio,start reason,no,,,,
ECV18N15.DTA,Enterprise Control,p15a04,fuente de financiamiento,Source of financing,no,,,,
ECV18N15.DTA,Enterprise Control,p15b01,tuvo negocio ult 12 meses,Had a business in the last 12 months,yes,,,,
ECV18N15.DTA,Enterprise Control,p15b02,cuantos negocios,Number of businesses,yes,,,,
ECV21A16.DTA,Own farms or land plots,region,region politico administrativa,administrative political region,no,,,,
ECV21A16.DTA,Own farms or land plots,area,area  urbana/rural,urban/rural area,no,,,,
ECV21A16.DTA,Own farms or land plots,factor,factor de expansion,expansion factor,no,,,,
ECV21A16.DTA,Own farms or land plots,hogar,numero de hogar,household number,yes,,,,
ECV21A16.DTA,Own farms or land plots,thogar,no. de personas en el hogar,No. of people in the home,no,,,,
ECV21A16.DTA,Own farms or land plots,pobreza,clasificacion de pobreza,poverty classification,no,,,,
ECV21A16.DTA,Own farms or land plots,caso,no. de unidad de produccion agropecuaria,Agricultural production unit number,no,,,,
ECV21A16.DTA,Own farms or land plots,item,no. de parcela propia de la upa,Parcel number of the unit,no,,,,
ECV21A16.DTA,Own farms or land plots,tipo,tipo de upas,Type of production unit,yes,can be dummy variables,,,
ECV21A16.DTA,Own farms or land plots,tcuerda,tamano de cuerda usada,Local definition of cuerda/tarea – Explains how big a cuerda actually is in this area (usually something like “25 varas per side”).,yes,,,yes and I updated the description,
ECV21A16.DTA,Own farms or land plots,p16a07a,superficie de parcela,"Plot size value – How big is the land? Just the number. (e.g., 1, 10, 4.5)",yes,agricultural productive asset,is this + previous question redundant?,"I was also confused at first. These there variables: tcuerda, p16a07a, p16a07b, are jointly needed to calculate the actual land area in m² or hectares:
p16a07a gives the numeric size,
p16a07b gives the unit (e.g., manzana or cuerda),
tcuerda defines what that unit (especially ""cuerda"") means in local terms (e.g., 25 varas per side).
",
ECV21A16.DTA,Own farms or land plots,p16a07b,unidad de medida,Unit of measurement – What’s that number in? Manzana or Cuerda,yes,,,"yes, description updated",
ECV21A16.DTA,Own farms or land plots,p16a08a,superficie bajo riego,Irrigated land area,no,agricultural productive asset,,,excluded because difficult to verify
ECV21A16.DTA,Own farms or land plots,p16a08b,unidad de medida,Unit of measurement,no,,,,excluded because of irrigated land area deleted
ECV21A16.DTA,Own farms or land plots,p16a09a,superficie entregada a terceros,Area given to third parties,no,,,,
ECV21A16.DTA,Own farms or land plots,p16a09b,unidad de medida,Unit of measurement,no,,,,
ECV21A16.DTA,Own farms or land plots,p16a10,como le pagan por tierra rentada,How they're paid for rented land,no,,,,
ECV21A16.DTA,Own farms or land plots,p16a11,cuanto le pagan por tierra rentada,Amount paid for rented land,no,,,,
ECV21A16.DTA,Own farms or land plots,p16a12,valor de venta,Sales value,no,,,,
ECV21A16.DTA,Own farms or land plots,p16a13a,precio de renta,rental price,no,,,,
ECV21A16.DTA,Own farms or land plots,p16a13b,periodo de renta,rental period,no,,,,
ECV21A16.DTA,Own farms or land plots,p16a14,como adquirio la tierra,How the land was acquired,no,,,,
ECV21A16.DTA,Own farms or land plots,p16a15,tipo de documento de propiedad,Type of ownership document,no,,,,
ECV21A16.DTA,Own farms or land plots,p16a16,quien es el propietario,who is the owner,no,,,,
ECV21A16.DTA,Own farms or land plots,p16a17,aÑos de poseer la tierra,years of owning the land,no,,,,
ECV31A16.DTA,"Livestock Activity, existence and production",region,region politico administrativa,administrative political region,no,duplicated,,,
ECV31A16.DTA,"Livestock Activity, existence and production",area,area  urbana/rural,urban/rural area,no,,,,
ECV31A16.DTA,"Livestock Activity, existence and production",factor,factor de expansion,expansion factor,no,,,,
ECV31A16.DTA,"Livestock Activity, existence and production",hogar,numero de hogar,household number,yes,,,,
ECV31A16.DTA,"Livestock Activity, existence and production",thogar,no. de personas en el hogar,No. of people in the home,no,,,,
ECV31A16.DTA,"Livestock Activity, existence and production",pobreza,clasificacion de pobreza,poverty classification,no,,,,
ECV31A16.DTA,"Livestock Activity, existence and production",caso,no. de unidad de produccion agropecuaria,Agricultural unit number,no,,,,
ECV31A16.DTA,"Livestock Activity, existence and production",tipo,tipo de upas,Type of production unit,yes,can be dummy variables,,,
ECV31A16.DTA,"Livestock Activity, existence and production",item,variedad de animales,Variety of animals,yes,,description is wrong,desciption updated,
ECV31A16.DTA,"Livestock Activity, existence and production",p16j02,criaron si/no,Raised animals - Yes/No,yes,,,,
ECV31A16.DTA,"Livestock Activity, existence and production",p16j03,cuantos tiene,Number currently owned,yes,,,,
ECV31A16.DTA,"Livestock Activity, existence and production",p16j04,valor de venta total,Total sale value,no,,,,
ECV31A16.DTA,"Livestock Activity, existence and production",p16j05,cuantos compro,Number purchased,no,,,,
ECV31A16.DTA,"Livestock Activity, existence and production",p16j06,cuantos nacieron,Number born,no,,,,
ECV31A16.DTA,"Livestock Activity, existence and production",p16j07,cuantos murieron,Number died,no,,,,
ECV31A16.DTA,"Livestock Activity, existence and production",p16j08,cuantos vendieron,Number sold,no,,,,
ECV31A16.DTA,"Livestock Activity, existence and production",p16j08b,valor de la venta,Sale value,no,,,,
ECV31A16.DTA,"Livestock Activity, existence and production",p16j09,destazaron,Slaughtered animals,no,,,,
ECV31A16.DTA,"Livestock Activity, existence and production",p16j10,cuantos destazaron,Number slaughtered,no,,,,
ECV31A16.DTA,"Livestock Activity, existence and production",p16j11a,libras vendio,pounds sold,no,,,,
ECV31A16.DTA,"Livestock Activity, existence and production",p16j11b,valor de la venta,sale value,no,,,,
ECV31A16.DTA,"Livestock Activity, existence and production",p16j12,cantidad para consumo del hogar,quantity for home consumption,no,,,,
ECV31A16.DTA,"Livestock Activity, existence and production",p16j13,cantidad para pago y consumo de trab,Quantity for laborers (pay/consumption),no,,,,
ECV31A16.DTA,"Livestock Activity, existence and production",p16j14,cantidad para trueque y regalos,amount for barter and gifts,no,,,,
ECV31A16.DTA,"Livestock Activity, existence and production",p16j15,cantidad para subproductos,quantity for byproducts,no,,,,
ECV17E14.DTA,Home Equipment.,region,region politico administrativa,administrative political region,no,duplicated,,,
ECV17E14.DTA,Home Equipment.,area,area  urbana/rural,urban/rural area,no,,,,
ECV17E14.DTA,Home Equipment.,factor,factor de expansion,expansion factor,no,,,,
ECV17E14.DTA,Home Equipment.,hogar,numero de hogar,household number,yes,,,,
ECV17E14.DTA,Home Equipment.,thogar,no. de personas en el hogar,No. of people in the home,no,,,,
ECV17E14.DTA,Home Equipment.,pobreza,clasificacion de pobreza,poverty classification,no,,,,
ECV17E14.DTA,Home Equipment.,tipo,tipo de equipo,Type of equipment,yes,,,,
ECV17E14.DTA,Home Equipment.,item,equipo,Equipment name,yes,,,,
ECV17E14.DTA,Home Equipment.,p14a01,tiene s/n,Has it - Yes/No,yes,,,,
ECV17E14.DTA,Home Equipment.,p14a02,cantidad tiene,Quantity owned,yes,not sure whether it should be reserved. but may offer more details,"Yes, keep this.",remained,
ECV17E14.DTA,Home Equipment.,p14a03,aÑos de tenerlo,Years owned,no,,,,
ECV17E14.DTA,Home Equipment.,p14a04,lo adquirio nuevo/usado,Acquired new or used,no,,,,
ECV17E14.DTA,Home Equipment.,p14a05,valor de venta,Estimated resale value,no,,,,
ECV03H01.DTA,Access to Services.,region,region politico administrativa,administrative political region,no,duplicated,,,
ECV03H01.DTA,Access to Services.,area,area  urbana/rural,urban/rural area,no,,,,
ECV03H01.DTA,Access to Services.,factor,factor de expansion,expansion factor,no,,,,
ECV03H01.DTA,Access to Services.,hogar,numero de hogar,household number,no,,,,
ECV03H01.DTA,Access to Services.,thogar,no. de personas en el hogar,No. of people in the home,no,,,,
ECV03H01.DTA,Access to Services.,pobreza,clasificacion de pobreza,poverty classification,no,,,,
ECV03H01.DTA,Access to Services.,item,tipo de servicio,"Type of service (e.g., police, church)",no,,"For the variables in this section: Can you please figure out whether they‚Äôre self-reported by the household,  or objectively measured at the community level? If the former, they‚Äôre not verifiable and we don‚Äôt want to use them. If the latter, we do want them.","yes, you are right. after checking the questionaires, answer is self-reported.",
ECV03H01.DTA,Access to Services.,tiene,hay el servicio si/no,Whether service exists in community,no,,,excluded. same as above.,
ECV03H01.DTA,Access to Services.,p01e02a,distancia de la viv. cantidad,Distance to the service (number),no,,,excluded. same as above.,
ECV03H01.DTA,Access to Services.,p01e02b,distancia de la viv. unimed,"Distance unit (e.g., meters, blocks)",no,,,excluded. same as above.,
ECV03H01.DTA,Access to Services.,p01e03a,medio de transporte - 1,Mode of transport to service - 1,no,"this is variable, non-standardized and subjective variable, which is not verifiable",,excluded. same as above.,
ECV03H01.DTA,Access to Services.,p01e04a,tiempo para llegar - horas,Travel time (hours),no,,,excluded. same as above.,
ECV03H01.DTA,Access to Services.,p01e04b,tiempo para llegar - minutos,Travel time (minutes),no,,,excluded. same as above.,
ECV03H01.DTA,Access to Services.,p01e05,queda en la comunidad,Whether the service is inside the community,no,,,excluded. same as above.,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,region,region politico administrativa,administrative political region,no,duplicated,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,area,area urbana-rural,urban-rural area,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,factor,factor de expansion,expansion factor,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,hogar,hogar numero,home number,yes,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,thogar,no. de personas en el hogar,No. of people in the home,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,pobreza,clasificacion de pobreza,poverty classification,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,caso,persona no.,person no.,yes,,,for helping index household head,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,sexo,sexo,sex,yes,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,edad,edad,age,yes,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p04,partida de nacimiento,birth certificate,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05,razon no tiene partida de nacimiento,reason no birth certificate,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06,cedula de vecindad,has ID card,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p07,razon no tiene cedula,reason for no ID,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p08,esta empadronado,is registered,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p09,razon no esta empadronado,reason is not registered,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05a01a,fecha nac - dia,date of birth - day,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05a01b,fecha nac - mes,date of birth - month,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05a01c,fecha nac - ano,date of birth - year,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05a02,parentesco con jefe hogar,relationship with head of household,yes,to filter household head,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05a03,estado civil,marital status,yes,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05a04a,esposa vive en el hogar,Wife lives in the household,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05a04b,cp de la esposa,Wife’s ID,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05a05a,padre vive en el hogar,Father lives in the household,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05a05b,cp del padre,Father’s ID,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05a06,nivel educativo del padre,father's educational level,no,to filter household head's edu,Drop ‚Äì the respondent‚Äôs educ. Level is below; we can use that.,excluded,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05a07,ocupacion del padre,father's occupation,no,to filter household head's job,Drop ‚Äì the respondent‚Äôs educ. Level is below; we can use that.,excluded,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05a08a,madre vive en el hogar,mother lives at home,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05a08b,cp de la madre,Mother’s ID,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05a09,nivel educativo de la madre,mother's educational level,no,to filter household head's edu,Drop ‚Äì the respondent‚Äôs educ. Level is below; we can use that.,excluded,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05a10,ocupacion de la madre,mother's occupation,no,to filter household head's job,Drop ‚Äì the respondent‚Äôs educ. Level is below; we can use that.,excluded,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05b01,idioma materno,mother tongue,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05b02,otro idioma  habla,speak another language,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05b03,con quien aprendio idioma,Who taught the language,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05b04a,idioma habla - en hogar,language spoken - at home,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05b04b,idioma habla - en escuela,language spoken - at school,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05b04c,idioma habla - en iglesia,language spoken - in church,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05b04d,idioma habla - en mercado,language spoken - in market,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05b04e,idioma habla - en trabajo,language spoken - at work,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05b04f,idioma habla - con aut. mpales,language spoken - with aut. mpales,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05b04g,idioma habla - con policia,language spoken - with police,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05b04h,idioma habla - con jueces,language speaks - with judges,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05b04i,idioma habla - con miem-com,language spoken - with member-com,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05b05,grupo etnico,ethnic group,yes,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05b06a,idioma habla el padre,language spoken by the father,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05b06b,idioma habla la madre,language spoken by the mother,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p05b07,meses ausente del hogar,months absent from home,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06a01,con quien permanece,with whom the child stays,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06a02,tiempo de lactancia,breastfeeding duration,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06a03,edad le dio otros alimentos,age given other food,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06a04,edad dejo de lactar,age stopped breastfeeding,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06a05,razon dejo de lactar,reason stopped breastfeeding,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06a06,facilidad de lactancia trab.,ease of breastfeeding while working,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06b01a,tarjeta de vacunacion,vaccination card present,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06b01b,presento tarjeta,presented the card,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06b02a,vacuna  tuberculosis  s/n,tuberculosis vaccine y/n,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06b03a,vacuna dtp  s/n,dtp vaccine y/n,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06b03b,vacuna dtp dosis,dtp vaccine dose,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06b03c,vacuna dtp refuerzo s/n,dtp booster vaccine y/n,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06b04a,vacuna  polio s/n,polio vaccine y/n,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06b04b,vacuna  polio dosis,polio vaccine dose,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06b04c,vacuna  polio refuerzo s/n,polio vaccine booster y/n,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06b05,vacuna  sarampion s/n,measles vaccine y/n,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06c01,tuvo  diarrea s/n,had diarrhea y/n,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06c02,tratamiento de diarrea,diarrhea treatment,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06c03,tuvo gripe/resfriados s/n,had flu/colds y/n,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06c04,tratamiento de gripe,flu treatment,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06c05,quien le atendio,who attended,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06c06,lugar de atencion,place of care,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06c07,tiempo de traslado al lugar,time to reach the place,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06c08a,medio de transporte - 1,means of transport - 1,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06c08b,medio de transporte - 2,means of transport - 2,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06c09a,pago por consulta,payment per consultation,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06c09b,pago por examen,payment per exam,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06c09c,pago por medicina,payment for medicine,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06c09d,pago por transporte,payment for transport,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06c09e,pago global no detallado,lump sum payment not itemized,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06c09f,pago por otros gastos,payment for other expenses,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06c09t,pago  total,full payment,no,,,,
ECV09P05.DTA,Demographic Characteristics Education Health and Migration,p06c10,accidente/enfermedad s/n,accident/illness y/n,no,,,,
